alg,puzzle_size,f%,instance_id,instance_path,ants,subcolonies,q0,rho,bve,safreq,saAccept,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm
2,25x25,45,63,,10,4,0.9,0.9,0.005,50,0,120.0,71.0,19.03465,27.00666,407.58,50,21
2,25x25,45,64,,10,4,0.9,0.9,0.005,50,0,120.0,100.0,3.44969,4.76477,86.39,21,79
2,25x25,45,65,,10,4,0.9,0.9,0.005,50,0,120.0,100.0,5.20916,14.44687,122.93,23,77
2,25x25,45,67,,10,4,0.9,0.9,0.005,50,0,120.0,100.0,2.81168,2.64041,71.13,19,81
2,25x25,45,69,,10,4,0.9,0.9,0.005,50,0,120.0,95.0,5.69748,13.06106,140.18,30,65
2,25x25,45,71,,10,4,0.9,0.9,0.005,50,0,120.0,100.0,2.2345,1.96857,47.46,9,91
2,25x25,45,72,,10,4,0.9,0.9,0.005,50,0,120.0,99.0,6.43086,7.59836,125.36,39,60
2,25x25,45,73,,10,4,0.9,0.9,0.005,50,0,120.0,100.0,1.83802,4.65786,44.38,4,96
2,25x25,45,75,,10,4,0.9,0.9,0.005,50,0,120.0,100.0,2.22517,2.26845,56.32,16,84
2,25x25,45,76,,10,4,0.9,0.9,0.005,50,0,120.0,100.0,1.19873,0.9416,33.82,2,98
2,25x25,45,77,,10,4,0.9,0.9,0.005,50,0,120.0,85.0,14.07179,21.44252,322.66,57,28
2,25x25,45,82,,10,4,0.9,0.9,0.005,50,0,120.0,98.0,6.98707,12.30463,171.9,47,51
2,25x25,45,83,,10,4,0.9,0.9,0.005,50,0,120.0,100.0,1.31079,1.49797,34.0,4,96
2,25x25,45,84,,10,4,0.9,0.9,0.005,50,0,120.0,100.0,2.31665,2.60969,61.68,13,87
2,25x25,45,85,,10,4,0.9,0.9,0.005,50,0,120.0,99.0,6.40347,12.11307,156.89,38,61
2,25x25,45,86,,10,4,0.9,0.9,0.005,50,0,120.0,100.0,4.4299,5.80556,111.01,31,69
2,25x25,45,87,,10,4,0.9,0.9,0.005,50,0,120.0,100.0,3.03768,9.73213,77.66,17,83
2,25x25,45,88,,10,4,0.9,0.9,0.005,50,0,120.0,100.0,1.63675,1.72879,46.84,8,92
2,25x25,45,89,,10,4,0.9,0.9,0.005,50,0,120.0,100.0,7.5681,8.63058,153.47,51,49
2,25x25,45,90,,10,4,0.9,0.9,0.005,50,0,120.0,100.0,3.17293,4.39704,83.24,20,80
2,25x25,45,92,,10,4,0.9,0.9,0.005,50,0,120.0,100.0,0.93773,0.71828,27.77,0,100
2,25x25,45,93,,10,4,0.9,0.9,0.005,50,0,120.0,96.0,7.22899,8.32624,147.5,45,51
2,25x25,45,95,,10,4,0.9,0.9,0.005,50,0,120.0,89.0,9.54875,17.35006,218.37,43,46
2,25x25,45,96,,10,4,0.9,0.9,0.005,50,0,120.0,100.0,1.30169,1.18233,35.62,5,95
2,25x25,45,97,,10,4,0.9,0.9,0.005,50,0,120.0,38.0,14.7555,19.75321,512.26,29,9
2,25x25,45,99,,10,4,0.9,0.9,0.005,50,0,120.0,100.0,1.43953,1.76609,65.67,15,85
2,25x25,50,1,,10,4,0.9,0.9,0.005,50,0,120.0,100.0,0.28203,0.54384,17.76,4,96
2,25x25,50,9,,10,4,0.9,0.9,0.005,50,0,120.0,100.0,2.0682,3.53727,120.33,26,74
2,25x25,50,11,,10,4,0.9,0.9,0.005,50,0,120.0,100.0,0.11969,0.19986,9.01,1,99
